account_id,city,state,bfpo_no,postcode,country,total_gifts_amount,last_gift_date,gifts_past_18m
001PY00000fbbYEYAY,New York,NY,,,United States,13100.0,2024-04-19,1.0
001PY00000fbbYFYAY,Princeton,NJ,,,United States,5454.57,2025-01-17,2.0
001PY00000fbbYSYAY,Bryn Mawr,PA,,,United States,30000.0,2021-04-23,0.0
001PY00000fbbYZYAY,New York,NY,,,United States,395800.0,2023-03-14,0.0
001PY00000fbbYgYAI,Chappaqua,NY,,,United States,130500.0,2025-05-15,2.0
001PY00000fbbYiYAI,New York,NY,,,United States,574000.0,2025-05-02,1.0
001PY00000fbbYrYAI,Katonah,NY,,,United States,45290.0,2025-04-28,1.0
001PY00000fbbYvYAI,Washington,DC,,,United States,17582.46,2025-02-18,1.0
001PY00000fbbZ0YAI,Valhalla,NY,,,United States,100.0,2021-05-28,0.0
001PY00000fbbZEYAY,New York,NY,,,United States,108455.0,2022-08-08,0.0
001PY00000fbbg5YAA,Millburn,NJ,,,United States,100.0,2020-03-03,0.0
001PY00000fbbg6YAA,Charlottesville,VA,,,United States,5000.0,2020-10-27,0.0
001PY00000fbbg8YAA,Hastings-on-Hudson,NY,,,United States,530.0,2020-11-17,0.0
001PY00000fbbg9YAA,,,,,United States,22200.0,2025-03-12,2.0
001PY00000fbbgAYAQ,Newburgh,NY,,,United States,1000.0,2021-04-09,0.0
001PY00000fbbgBYAQ,New York,NY,,,United States,60.0,2021-04-13,0.0
001PY00000fbbgCYAQ,Newburgh,NY,,,United States,221.9,2021-05-11,0.0
001PY00000fbbgDYAQ,,,,,United States,390.0,2025-01-31,2.0
001PY00000fbbgEYAQ,,,,,United States,1318.84,2025-02-18,2.0
001PY00000fbbgGYAQ,,,,,United States,5000.0,2021-06-30,0.0
001PY00000fbbgHYAQ,,,,,United States,500.0,2023-03-29,0.0
001PY00000fbbgIYAQ,Englewood Cliffs,NJ,,,United States,35000.0,2023-02-23,0.0
001PY00000fbbgJYAQ,New York,NY,,,United States,200.0,2021-03-10,0.0
001PY00000fbbgKYAQ,Hudson,NY,,,United States,300.0,2021-11-15,0.0
001PY00000fbbgLYAQ,Peekskill,NY,,,United States,6611.0,2021-11-22,0.0
001PY00000fbbgMYAQ,New York,NY,,,United States,5000.0,2021-11-23,0.0
001PY00000fbbgNYAQ,Seattle,WA,,,United States,125.0,2021-12-01,0.0
001PY00000fbbgOYAQ,,,,,United States,1274.57,2023-10-03,0.0
001PY00000fbbgPYAQ,New York,NY,,,United States,30000.0,2022-11-02,0.0
001PY00000fbbgQYAQ,Sausalito,CA,,,United States,25000.0,2023-12-13,0.0
001PY00000fbbgRYAQ,New York,NY,,,United States,5000.0,2022-06-14,0.0
001PY00000fbbgSYAQ,New Paltz,NY,,,United States,300.0,2021-12-31,0.0
001PY00000fbbgTYAQ,San Antonio,TX,,,United States,30000.0,2021-03-16,0.0
001PY00000fbbgUYAQ,,,,,United States,650.0,2023-09-13,0.0
001PY00000fbbgVYAQ,Plymouth Meeting,PA,,,United States,1000.0,2022-01-25,0.0
001PY00000fbbgWYAQ,Sleepy Hollow,NY,,,United States,125.0,2021-01-26,0.0
