Account ID        , City                          , County                                   , State         , Country      , Total Gifts (All Time), Last Gift Date, Number of Gifts Past 18 Months, Location                                  , OriginalLocation      , ResolvedCity                  , Latitude  , Longitude   , LocalArea
001PY00000fbbTAYAY, New York City                 ,                                          , New York      , United States,               40060.0 , 2024-12-31    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTCYAY, New York City                 ,                                          , New York      , United States,              240354.56, 2021-10-07    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTDYAY, New York City                 ,                                          , New York      , United States,              947757.41, 2022-09-30    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTHYAY, Cranford                      , Union                                    , New Jersey    , United States,              871500.0 , 2025-04-24    ,                            2.0, "Cranford, New Jersey"                    , Cranford              , Cranford                      , 40.656539 , -74.3035794 , 
001PY00000fbbTKYAY, Town of Ithaca                , Tompkins                                 , New York      , United States,              570000.0 , 2024-12-23    ,                            1.0, "Town of Ithaca, New York"                , Ithaca                , Town of Ithaca                , 42.4374175, -76.5483724 , 
001PY00000fbbTMYAY, New York City                 ,                                          , New York      , United States,              466033.18, 2025-09-23    ,                            6.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTSYAY, City of Peekskill             , Westchester                              , New York      , United States,               22500.0 , 2025-06-02    ,                            3.0, "City of Peekskill, New York"             , Peekskill             , City of Peekskill             , 41.289811 , -73.9204922 , 
001PY00000fbbTVYAY, Easton                        , Talbot                                   , Maryland      , United States,               42500.0 , 2024-06-03    ,                            1.0, "Easton, Maryland"                        , Easton                , Easton                        , 38.7744625, -76.0763244 , 
001PY00000fbbTaYAI, New York City                 ,                                          , New York      , United States,                 200.0 , 2020-11-24    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTcYAI, Philadelphia                  , Philadelphia                             , Pennsylvania  , United States,              657500.0 , 2025-06-09    ,                            2.0, "Philadelphia, Pennsylvania"              , Philadelphia          , Philadelphia                  , 39.9527237, -75.1635262 , 
001PY00000fbbTrYAI, Town of Yorktown              , Westchester                              , New York      , United States,                 100.0 , 2021-04-21    ,                            0.0, "Town of Yorktown, New York"              , Yorktown Heights      , Town of Yorktown              , 41.270178 , -73.7753539 , 
001PY00000fbbTsYAI, Town of Bedford               , Westchester                              , New York      , United States,                8120.18, 2020-07-27    ,                            0.0, "Town of Bedford, New York"               , Bedford               , Town of Bedford               , 41.2041304, -73.642509  , 
001PY00000fbbTwYAI, New York City                 ,                                          , New York      , United States,               10000.0 , 2023-03-09    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbTzYAI, Richmond                      ,                                          , Virginia      , United States,               65000.0 , 2025-09-15    ,                            2.0, "Richmond, Virginia"                      , Richmond              , Richmond                      , 37.5385087, -77.43428   , 
001PY00000fbbU0YAI, City of Poughkeepsie          , Dutchess                                 , New York      , United States,               36734.35, 2022-08-29    ,                            0.0, "City of Poughkeepsie, New York"          , Poughkeepsie          , City of Poughkeepsie          , 41.7065539, -73.9283672 , 
001PY00000fbbU3YAI, New York City                 ,                                          , New York      , United States,              125000.0 , 2022-08-01    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbU9YAI,                               , Pinellas                                 , Florida       , United States,                1072.49, 2024-06-30    ,                            1.0, Florida                                   , Safety Harbor         ,                               , 27.9908529, -82.6931553 , 
001PY00000fbbUFYAY, Town of New Paltz             , Ulster                                   , New York      , United States,                 400.0 , 2023-04-11    ,                            0.0, "Town of New Paltz, New York"             , New Paltz             , Town of New Paltz             , 41.7464972, -74.0844894 , 
001PY00000fbbUJYAY, Armonk                        , Westchester                              , New York      , United States,               11000.0 , 2023-11-15    ,                            0.0, "Armonk, New York"                        , Armonk                , Armonk                        , 41.132973 , -73.7126064 , 
001PY00000fbbUqYAI, New York City                 ,                                          , New York      , United States,               37903.2 , 2025-04-30    ,                            2.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbUuYAI, Village of Sea Cliff          , Nassau                                   , New York      , United States,                 150.0 , 2024-04-15    ,                            1.0, "Village of Sea Cliff, New York"          , Sea Cliff             , Village of Sea Cliff          , 40.849566 , -73.6471225 , 
001PY00000fbbUyYAI, New York City                 ,                                          , New York      , United States,                 770.0 , 2023-01-19    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbUzYAI, Sacramento                    , Sacramento                               , California    , United States,               90000.0 , 2020-07-08    ,                            0.0, "Sacramento, California"                  , Sacramento            , Sacramento                    , 38.5810606, -121.493895 , 
001PY00000fbbV5YAI, New York City                 ,                                          , New York      , United States,                7960.96, 2025-05-06    ,                            5.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbV7YAI, Richmond                      ,                                          , Virginia      , United States,               40000.0 , 2020-06-29    ,                            0.0, "Richmond, Virginia"                      , Richmond              , Richmond                      , 37.5385087, -77.43428   , 
001PY00000fbbV9YAI, New York City                 ,                                          , New York      , United States,               55000.0 , 2024-12-05    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbVHYAY, City of Kingston              , Ulster                                   , New York      , United States,              550000.0 , 2025-07-02    ,                            2.0, "City of Kingston, New York"              , Kingston              , City of Kingston              , 41.9287812, -74.0023825 , 
001PY00000fbbVLYAY, Town of Fishkill              , Dutchess                                 , New York      , United States,                9000.0 , 2025-02-20    ,                            2.0, "Town of Fishkill, New York"              , Fishkill              , Town of Fishkill              , 41.5355745, -73.898702  , 
001PY00000fbbVMYAY, Village of Ossining           , Westchester                              , New York      , United States,               19012.0 , 2021-05-12    ,                            0.0, "Village of Ossining, New York"           , Ossining              , Village of Ossining           , 41.1613168, -73.8620367 , 
001PY00000fbbVNYAY, Greensboro                    , Guilford                                 , North Carolina, United States,               13000.0 , 2020-12-28    ,                            0.0, "Greensboro, North Carolina"              , Greensboro            , Greensboro                    , 36.0726355, -79.7919754 , 
001PY00000fbbVVYAY, City of White Plains          , Westchester                              , New York      , United States,                 185.0 , 2020-05-18    ,                            0.0, "City of White Plains, New York"          , White Plains          , City of White Plains          , 41.0339862, -73.7629097 , 
001PY00000fbbVYYAY, New York City                 ,                                          , New York      , United States,                 250.0 , 2020-07-22    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbVaYAI, New York City                 ,                                          , New York      , United States,                 250.0 , 2020-01-27    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbVbYAI, Shelburne                     , Chittenden                               , Vermont       , United States,                4500.0 , 2021-06-07    ,                            0.0, "Shelburne, Vermont"                      , Shelburne             , Shelburne                     , 44.3783486, -73.2276183 , 
001PY00000fbbVcYAI, New York City                 ,                                          , New York      , United States,                1250.0 , 2020-02-04    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbVdYAI, Town of Clifton Park          , Saratoga                                 , New York      , United States,                 200.0 , 2020-02-11    ,                            0.0, "Town of Clifton Park, New York"          , Clifton Park          , Town of Clifton Park          , 42.8631868, -73.7812103 , 
001PY00000fbbVeYAI, Montvale                      , Bergen                                   , New Jersey    , United States,                  70.0 , 2020-02-11    ,                            0.0, "Montvale, New Jersey"                    , Montvale              , Montvale                      , 41.0467635, -74.0229173 , 
001PY00000fbbVgYAI, Village of Cold Spring        , Putnam                                   , New York      , United States,                5500.0 , 2025-02-25    ,                            1.0, "Village of Cold Spring, New York"        , Cold Spring           , Village of Cold Spring        , 41.4200938, -73.9545831 , 
001PY00000fbbVhYAI, Indianapolis                  , Marion County                            , Indiana       , United States,                2500.0 , 2020-03-06    ,                            0.0, "Indianapolis, Indiana"                   , Indianapolis          , Indianapolis                  , 39.7683331, -86.1583502 , 
001PY00000fbbViYAI, New York City                 ,                                          , New York      , United States,               17070.0 , 2024-04-12    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbXGYAY, New York City                 , Staten Island                            , New York      , United States,                 100.0 , 2021-12-22    ,                            0.0, "New York City, New York"                 , Staten Island         , City of New York              , 40.5834557, -74.1496048 , 
001PY00000fbbXHYAY, New York City                 ,                                          , New York      , United States,              165000.0 , 2024-10-01    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbXIYAY, Seattle                       , King                                     , Washington    , United States,                2058.46, 2021-02-17    ,                            0.0, "Seattle, Washington"                     , Seattle               , Seattle                       , 47.6038321, -122.330062 , 
001PY00000fbbXJYAY, New York City                 ,                                          , New York      , United States,               32572.55, 2020-03-12    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbXMYAY, Town/Village of Harrison      , Westchester                              , New York      , United States,              420000.0 , 2025-05-16    ,                            3.0, "Town/Village of Harrison, New York"      , Harrison              , Town/Village of Harrison      , 40.9689871, -73.71263   , 
001PY00000fbbXNYAY, New York City                 ,                                          , New York      , United States,               10000.0 , 2024-02-13    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbXOYAY, Wilmington                    , New Castle                               , Delaware      , United States,                 600.0 , 2020-09-23    ,                            0.0, "Wilmington, Delaware"                    , Wilmington            , Wilmington                    , 39.7459468, -75.546589  , 
001PY00000fbbXRYAY, Nutley                        , Essex                                    , New Jersey    , United States,               90000.0 , 2024-11-25    ,                            1.0, "Nutley, New Jersey"                      , Nutley                , Nutley                        , 40.8223223, -74.1598663 , 
001PY00000fbbXXYAY, New York City                 , Brooklyn                                 , New York      , United States,               10000.0 , 2025-06-02    ,                            1.0, "New York City, New York"                 , Brooklyn              , City of New York              , 40.6526006, -73.9497211 , 
001PY00000fbbXaYAI, City of Poughkeepsie          , Dutchess                                 , New York      , United States,               18500.0 , 2022-12-05    ,                            0.0, "City of Poughkeepsie, New York"          , Poughkeepsie          , City of Poughkeepsie          , 41.7065539, -73.9283672 , 
001PY00000fbbXbYAI, New York City                 ,                                          , New York      , United States,              827877.44, 2020-11-30    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbXgYAI, Innsbruck                     ,                                          ,               , Austria      ,                1945.93, 2023-01-20    ,                            0.0, Innsbruck                                 , Innsbruck             , Innsbruck                     , 47.2654296, 11.3927685  , 
001PY00000fbbXhYAI, New York City                 ,                                          , New York      , United States,               10000.0 , 2023-07-10    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
